epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3260.51,1.09898,0.64046,0.9274,0.29644,0.29431,0.17677,0.11711,2.24786,inf,2.11171,0.000342899,0.000342899,0.000342899
44,3335.8,1.0873,0.62879,0.92699,0.2734,0.29583,0.16047,0.10946,2.24198,inf,2.1013,0.000334063,0.000334063,0.000334063
45,3410.86,1.08132,0.62529,0.92741,0.34684,0.29286,0.20068,0.13523,2.42575,inf,2.59722,0.000325227,0.000325227,0.000325227
46,3485.97,1.07297,0.61848,0.92309,0.37891,0.28928,0.21547,0.14358,2.41821,inf,2.55504,0.000316391,0.000316391,0.000316391
47,3561.19,1.09147,0.62305,0.92258,0.34496,0.28774,0.19679,0.13192,2.49974,inf,2.7524,0.000307555,0.000307555,0.000307555
48,3636.6,1.07327,0.6119,0.91979,0.40725,0.29222,0.24024,0.1604,2.57617,inf,2.96873,0.00029872,0.00029872,0.00029872
49,3711.87,1.06853,0.61252,0.91918,0.36146,0.29881,0.22338,0.14866,2.39297,inf,2.54771,0.000289884,0.000289884,0.000289884
50,3786.99,1.06785,0.60407,0.91796,0.41485,0.2842,0.24073,0.16077,2.51279,inf,2.96435,0.000281048,0.000281048,0.000281048
51,3862.2,1.06627,0.60229,0.92222,0.39583,0.2878,0.23536,0.15678,2.40702,inf,2.5954,0.000272212,0.000272212,0.000272212
52,3937.3,1.06409,0.59814,0.92034,0.3948,0.28782,0.22865,0.15239,2.42204,inf,2.57971,0.000263377,0.000263377,0.000263377
53,4012.32,1.06949,0.59784,0.91694,0.28539,0.29985,0.17695,0.11815,2.39194,inf,2.50755,0.000254541,0.000254541,0.000254541
54,4087.45,1.05172,0.59148,0.91162,0.35217,0.28973,0.21107,0.14394,2.51383,inf,2.88196,0.000245705,0.000245705,0.000245705
55,4162.66,1.05649,0.58836,0.91754,0.338,0.29921,0.20445,0.13842,2.44918,inf,2.64919,0.000236869,0.000236869,0.000236869
56,4238.03,1.05247,0.58544,0.91396,0.37312,0.2962,0.22668,0.15167,2.47274,inf,2.67867,0.000228034,0.000228034,0.000228034
57,4312.87,1.0472,0.58027,0.91247,0.39048,0.29089,0.23221,0.15416,2.62929,inf,3.24746,0.000219198,0.000219198,0.000219198
58,4411.4,1.05293,0.58033,0.91209,0.41383,0.28831,0.24238,0.15953,2.6188,inf,3.18116,0.000210362,0.000210362,0.000210362
59,4486.59,1.04221,0.57641,0.91105,0.43662,0.28541,0.24663,0.16367,2.52692,inf,2.98854,0.000201527,0.000201527,0.000201527
60,4561.73,1.03,0.56645,0.91007,0.42753,0.29122,0.24598,0.16315,2.51494,inf,2.84983,0.000192691,0.000192691,0.000192691
61,4636.81,1.03346,0.56568,0.90855,0.42825,0.28962,0.24417,0.16216,2.52529,inf,2.88213,0.000183855,0.000183855,0.000183855
62,4711.79,1.03089,0.56643,0.90754,0.42459,0.2924,0.2421,0.16111,2.58783,inf,3.06611,0.000175019,0.000175019,0.000175019
63,4786.86,1.03325,0.56249,0.90842,0.41808,0.2903,0.24045,0.15978,2.59518,inf,3.24274,0.000166183,0.000166183,0.000166183
64,4861.97,1.0317,0.56126,0.91071,0.40841,0.28939,0.2343,0.15632,2.57107,inf,3.09871,0.000157348,0.000157348,0.000157348
65,4968.15,1.02842,0.55599,0.90608,0.36774,0.29195,0.21634,0.14394,2.55595,inf,3.06468,0.000148512,0.000148512,0.000148512
66,5043.23,1.02774,0.55338,0.90715,0.34136,0.29477,0.20375,0.13415,2.54287,inf,2.98647,0.000139676,0.000139676,0.000139676
67,5118.49,1.02292,0.55123,0.90606,0.37875,0.29409,0.21645,0.14309,2.54924,inf,3.05409,0.000130841,0.000130841,0.000130841
68,5193.73,1.01459,0.5473,0.90295,0.39857,0.28762,0.22598,0.14816,2.57728,inf,3.24027,0.000122005,0.000122005,0.000122005
69,5268.61,1.01035,0.54299,0.89965,0.36254,0.2961,0.20912,0.13777,2.53524,inf,3.05781,0.000113169,0.000113169,0.000113169
70,5343.99,1.02364,0.5448,0.90561,0.39132,0.28408,0.21629,0.14378,2.53762,inf,3.09137,0.000104333,0.000104333,0.000104333
71,5417.73,1.01838,0.53999,0.91472,0.41284,0.28731,0.23172,0.15277,2.52581,inf,2.99381,9.54975e-05,9.54975e-05,9.54975e-05
72,5490.4,1.00376,0.52515,0.91091,0.40716,0.29125,0.2326,0.15393,2.52719,inf,2.91888,8.66618e-05,8.66618e-05,8.66618e-05
73,5562.96,1.00147,0.51999,0.90686,0.402,0.29141,0.23355,0.15544,2.53077,inf,2.89483,7.7826e-05,7.7826e-05,7.7826e-05
74,5635.48,0.98951,0.51366,0.90602,0.40252,0.28989,0.23299,0.15481,2.5138,inf,2.79401,6.89903e-05,6.89903e-05,6.89903e-05
75,5708.06,0.99366,0.51238,0.90759,0.39187,0.29526,0.23407,0.15555,2.5572,inf,2.98029,6.01545e-05,6.01545e-05,6.01545e-05
76,5780.62,0.98922,0.5109,0.90583,0.40534,0.29037,0.23598,0.15701,2.56296,inf,2.99578,5.13187e-05,5.13187e-05,5.13187e-05
77,5853.26,0.98976,0.50966,0.90316,0.39795,0.28885,0.23097,0.15398,2.56196,inf,2.99748,4.2483e-05,4.2483e-05,4.2483e-05
78,5925.84,0.98086,0.50655,0.90216,0.39032,0.29054,0.22586,0.15094,2.56081,inf,2.99519,3.36472e-05,3.36472e-05,3.36472e-05
79,5998.56,0.98107,0.50314,0.90368,0.39031,0.29139,0.22907,0.15252,2.56353,inf,2.99338,2.48115e-05,2.48115e-05,2.48115e-05
80,6071.23,0.98137,0.49977,0.90171,0.39236,0.28738,0.22637,0.15134,2.55664,inf,2.95171,1.59757e-05,1.59757e-05,1.59757e-05
