epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.75,1.32233,1.19209,1.02317,0.5124,0.43063,0.4356,0.26722,1.28594,0.97804,1.01128,0.000237559,0.000237559,0.000237559
2,286.884,1.27782,0.98839,0.99255,0.52448,0.43469,0.43518,0.26615,1.26407,0.97692,0.99073,0.000452019,0.000452019,0.000452019
3,424.298,1.28106,0.96185,0.99451,0.52525,0.43916,0.44951,0.2777,1.27803,0.98648,1.0108,0.000642917,0.000642917,0.000642917
4,562.212,1.26859,0.93637,0.99144,0.5841,0.48023,0.50523,0.31597,1.23104,0.91516,0.99024,0.000607971,0.000607971,0.000607971
5,699.561,1.24856,0.90579,0.98201,0.57222,0.46743,0.49503,0.31127,1.25135,0.93979,0.99106,0.000572628,0.000572628,0.000572628
6,837.042,1.24,0.8868,0.97868,0.58673,0.51095,0.53077,0.33471,1.2219,0.87449,0.98294,0.000537285,0.000537285,0.000537285
7,973.754,1.22804,0.86216,0.97627,0.60121,0.50994,0.53762,0.3408,1.2091,0.86728,0.9803,0.000501942,0.000501942,0.000501942
8,1111.2,1.22538,0.85067,0.97251,0.58721,0.50586,0.52707,0.33503,1.20837,0.87192,0.98221,0.000466599,0.000466599,0.000466599
9,1248.22,1.2122,0.82888,0.96872,0.61174,0.51474,0.54391,0.3455,1.21099,0.85797,0.97912,0.000431256,0.000431256,0.000431256
10,1385.44,1.19979,0.80911,0.96514,0.61847,0.52695,0.5563,0.35246,1.20273,0.83962,0.97884,0.000395913,0.000395913,0.000395913
11,1519.35,1.19726,0.81347,0.97851,0.60536,0.51825,0.54434,0.34467,1.20647,0.85518,0.98743,0.00036057,0.00036057,0.00036057
12,1651.82,1.18834,0.79154,0.97711,0.62398,0.5302,0.55942,0.35563,1.19406,0.83948,0.97765,0.000325227,0.000325227,0.000325227
13,1784.86,1.18414,0.77937,0.97465,0.63758,0.5269,0.56153,0.35633,1.20618,0.83647,0.98396,0.000289884,0.000289884,0.000289884
14,1918.28,1.1728,0.76475,0.96939,0.61905,0.54027,0.56967,0.36315,1.1914,0.82639,0.97765,0.000254541,0.000254541,0.000254541
15,2051.32,1.16443,0.74915,0.96891,0.63643,0.54475,0.57459,0.36503,1.18974,0.81291,0.9748,0.000219198,0.000219198,0.000219198
16,2183.89,1.15354,0.73418,0.95928,0.64579,0.54553,0.57313,0.36515,1.19082,0.80815,0.96963,0.000183855,0.000183855,0.000183855
17,2316.98,1.14236,0.71672,0.95765,0.64088,0.55606,0.5845,0.37347,1.18249,0.79559,0.97209,0.000148512,0.000148512,0.000148512
18,2449.9,1.13164,0.70073,0.95713,0.64329,0.55325,0.58363,0.37176,1.18672,0.79246,0.97307,0.000113169,0.000113169,0.000113169
19,2582.48,1.12212,0.68644,0.95288,0.64968,0.55221,0.58706,0.37563,1.17251,0.78783,0.96748,7.7826e-05,7.7826e-05,7.7826e-05
20,2715.03,1.11286,0.67011,0.94846,0.65241,0.55926,0.59037,0.3786,1.1729,0.78155,0.96687,4.2483e-05,4.2483e-05,4.2483e-05
