epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.384,1.32253,1.19218,1.02159,0.53144,0.42354,0.43674,0.26876,1.28848,0.97576,1.00739,0.000237559,0.000237559,0.000237559
2,289.868,1.28067,0.99162,0.99396,0.51239,0.45558,0.45258,0.27712,1.26219,0.95259,1.00284,0.000463789,0.000463789,0.000463789
3,434.365,1.27566,0.96247,0.99152,0.54187,0.46375,0.47216,0.29224,1.24442,0.95728,0.99712,0.000678238,0.000678238,0.000678238
