epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4969,1.34061,1.27081,1.03057,0.1929,0.25246,0.12588,0.07385,2.54208,inf,2.47068,0.000237119,0.000237119,0.000237119
2,152.974,1.28713,0.98823,0.98727,0.18303,0.25522,0.1137,0.06457,2.65247,inf,3.56968,0.000381045,0.000381045,0.000381045
3,228.326,1.25975,0.93141,0.9843,0.24166,0.24444,0.14289,0.08323,2.71,inf,3.91812,0.000430724,0.000430724,0.000430724
4,303.867,1.23268,0.88043,0.97737,0.18626,0.278,0.11679,0.06811,2.66379,inf,3.90153,0.000289884,0.000289884,0.000289884
5,378.682,1.2029,0.83484,0.96965,0.27951,0.2821,0.15992,0.09614,2.70131,inf,3.99885,0.000148512,0.000148512,0.000148512
